Code,Latitude,Longitude,Elevation,Name
FIE00144197,62.1,30.1331,104.0,KITEE_KK
FIE00144202,62.235,30.3494,90.0,TOHMAJARVI_KEMIE
FIE00144212,63.0417,21.7678,6.0,VAASA_VAASAN_LENTOASEMA
FIE00144222,63.4353,21.0681,4.0,MUSTASAARI_VALASSAARET
FIE00144227,63.0831,21.65,9.0,VAASA_HIETALAHTI
FIE00144287,62.8831,21.1,4.0,KORSNAS_MOIKIPAA
FIE00144296,62.9344,21.1883,2.0,KORSNAS_BREDSKARET
FIE00144302,63.1,21.6,4.0,VAASA_PALOSAARI
FIE00144306,62.9781,20.7433,2.0,MAALAHTI_STROMMINGSBADAN
FIE00144322,62.9367,22.4908,26.0,SEINAJOKI_PELMAA
FIE00144402,62.55,22.95,102.0,PERASEINAJOKI_HAUKINEVA
FIE00144407,63.1203,23.0469,42.0,KAUHAVA_LENTOKENTTA
FIE00144412,62.9667,23.0167,34.0,LAPUA_SIIRILA
FIE00144477,63.12,23.0469,40.0,KAUHAVA_KK_UUNIMAANTIE
FIE00144482,62.5344,24.2206,157.0,AHTARI_MYLLYMAKI
