,Code,Correlation1,Correlation10,Correlation11,Correlation12,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Elevation,Latitude,Longitude,Name,Time,Unnamed: 0
58,CA002402684,0.31295791100954623,0.5322002839351765,0.4091459480886501,0.17866340707885814,0.2044470258905036,0.2267074407550885,0.1813675898796795,0.2800090653591575,0.5785057097904539,0.3308120097153479,0.40804791796650064,0.5890912657679921,161.0,68.9,-75.1333,LONGSTAFF_BLUFF,63 years,195.0
59,CA002403050,0.18017210713748807,0.3594784299560281,0.34757627305902244,0.20756201542162425,0.4581426379359183,0.4515559693423565,-0.16346727871510844,0.6452268652330119,0.43025485103296207,0.6761780930039879,0.4028131534347352,0.5681173209429989,15.0,66.1333,-65.7333,PANGNIRTUNG,90 years,201.0
60,CA002403450,-0.08258315945582201,0.4599119170004944,0.5987768238417323,0.2716407248579217,0.7539705112522774,0.3859660104844327,0.471507711882096,0.3973361366101365,0.1720349349026011,0.2347131365821326,0.3038803551253966,0.4335621085620614,15.0,75.3833,-105.7167,REA_POINT,51 years,207.0
61,CA002403500,0.09874501544500497,0.3422788930658669,0.3837317255270526,0.30360942459920554,0.1315547097455679,0.15918007907159176,0.14477155968483754,0.32414613329608577,0.5365067761953535,0.44970868672589626,0.423588973184278,0.4962618101897148,68.0,74.7167,-94.9667,RESOLUTE_CARS,74 years,209.0
62,CA002403505,0.11925464975702955,0.3279644515604562,0.2825169090321117,0.1654805664536641,0.12820616204900165,0.14698930360509066,0.0923792780345526,0.30832299838888233,0.5427805803113694,0.4332721333102133,0.4209923206324835,0.4895935598995992,30.0,74.7167,-94.9833,RESOLUTE_CS,73 years,210.0
63,CA002403602,0.3963631781068,0.5837454993630313,0.5708766287902738,0.26183717307486104,0.4377182982541713,0.3725641518709496,0.4428522330684755,0.6035640059506395,0.22327393636438125,0.6878203423803233,0.18787641218646575,0.6437968748677682,369.0,61.6,-64.6333,RESOLUTION_ISLAND,90 years,212.0
64,CA002403625,0.22212043738604165,0.5709607935155812,0.5192708732265692,0.060593903711363625,-0.050967123197124466,0.3080110877118372,0.21415674894728376,0.5458067667789154,0.5625674546730434,0.4805709417702938,0.6983192131725134,0.6520633819073277,41.0,69.0833,-79.0333,ROWLEY_ISLAND,64 years,213.0
65,CA002502700,0.5658404269948037,0.7557487751035024,0.6938522049942375,0.08554263343460843,0.6754750052406534,0.7718523980883583,0.8464010810348548,0.826044044725139,0.8965678287433788,0.8274340698006715,0.8851280107283903,0.7418770290354172,12.0,76.2333,-119.3333,MOULD_BAY_A,65 years,222.0
66,CA002503650,0.08321760930631332,0.07909739917859628,0.2800796224056883,0.2646538910335989,0.20111908477253496,0.3828698480238646,0.43669850533517307,0.4890828047746172,0.30952197630481004,0.3674367626395985,0.36063582976317493,0.285613894385403,86.0,72.0,-125.2667,SACHS_HARBOUR_A,53 years,224.0
67,CAXLT660207,0.3458917801079829,0.31002155467612696,0.22094674093572986,0.15608105298176486,0.08782722063815962,0.0942598450953864,0.011541633398816935,0.2718551614345145,0.4594709006553443,0.3614525719210023,0.3773513217467285,0.2580370770331278,0.0,63.8,-68.6,FROBISHER_BAY,59 years,229.0
